source;target;weight
bbcglasto;movinonup;2
bbcglasto;happydean;1
bbcglasto;looksamazing;1
bbcglasto;cantbeatlivemusic;1
bbcglasto;glastoflags;2
bbcglasto;glastoathome;1
bbcglasto;pauiilac;1
bbcglasto;simpleasthat;1
bbcglasto;nilerodgers;1
bbcglasto;therollingstones;108
bbcglasto;sad;2
bbcglasto;fest;1
bbcglasto;rocking;1
bbcglasto;pictureperfectgirl;1
bbcglasto;handshake;1
bbcglasto;iwillgetticketsnextyear;1
bbcglasto;glasto13;10
bbcglasto;majorlazer;5
bbcglasto;pauillac;1
bbcglasto;bbcfail;1
bbcglasto;legaladvice;1
bbcglasto;glasto2014;1
bbcglasto;welljell;1
bbcglasto;thai;1
bbcglasto;lovebananatree;1
bbcglasto;heavyasfuck;1
bbcglasto;properband;2
bbcglasto;averageatbest;1
bbcglasto;allmusicthatsplayedintopman;1
bbcglasto;brokenbritain;1
bbcglasto;bilf;1
bbcglasto;timetoretire;1
bbcglasto;nolivestones;1
bbcglasto;notfair;1
bbcglasto;reverence;1
bbcglasto;musicperfection;1
bbcglasto;chaseandstatus;202
bbcglasto;beautiful;1
bbcglasto;bbcglasto2014;1
bbcglasto;justwhatisit;1
bbcglasto;bitch;2
bbcglasto;sorrynotsorry;1
bbcglasto;turnthisshiteoff;1
bbcglasto;differentleague;1
bbcglasto;loaded;1
bbcglasto;everybodydance;1
bbcglasto;yorkshireflag;1
bbcglasto;gettingold;1
bbcglasto;cantwait;2
bbcglasto;kernow;1
bbcglasto;rabblerousers;1
bbcglasto;mumfordsons;1
bbcglasto;youjealous;3
bbcglasto;whiney;1
bbcglasto;sorryneighbours;1
bbcglasto;wooo;2
bbcglasto;leeches;1
bbcglasto;toodurnmany;1
bbcglasto;glastointhegarden;1
bbcglasto;betterthanacrappyclub;1
bbcglasto;justasimportant;1
bbcglasto;justasinteresting;1
bbcglasto;iknowulikeverymuch;1
bbcglasto;mavericksabreshitthough;1
bbcglasto;examplefeels;3
bbcglasto;easylife;1
bbcglasto;lcfc;1
bbcglasto;justasinterestin;1
bbcglasto;feelingthefestivals;1
bbcglasto;dear;21
bbcglasto;awesome;2
bbcglasto;eastendlive;3
bbcglasto;eastlondon;3
bbcglasto;bbcmotd;1
bbcglasto;oasis;1
bbcglasto;happydays;2
