source;target;weight
glastonbury;afldeesdogs;1
glastonbury;glassedinburry;1
glastonbury;neville;2
glastonbury;glastolive;12
glastonbury;glasto2013;153
glastonbury;lush;2
glastonbury;queenmum;2
glastonbury;gaypride;2
glastonbury;postcards;1
glastonbury;gardernbury;3
glastonbury;qualityband;1
glastonbury;whenthesungoesdown;2
glastonbury;tuneaftertune;1
glastonbury;primalscreams;1
glastonbury;kylieminogue;1
glastonbury;universityofsheffield;2
glastonbury;stayingathome;1
glastonbury;bristishsummertime;1
glastonbury;harekrishna;2
glastonbury;polar;6
glastonbury;greenpeace;15
glastonbury;takeabowson;1
glastonbury;brolliesnecessay;1
glastonbury;rain;4
glastonbury;tdf2013;1
glastonbury;princeharry;25
glastonbury;justdontsitdowncauseimovedyourchair;1
glastonbury;burritos;1
glastonbury;iforgothowgoodthissongis;1
glastonbury;flag;19
glastonbury;ffc;25
glastonbury;representing;3
glastonbury;lumineers;4
glastonbury;pottyheads;2
glastonbury;visually;2
glastonbury;stunning;6
glastonbury;triphop;1
glastonbury;musically;2
glastonbury;pickoftheday;1
glastonbury;downtonabbey;1
glastonbury;bbcbreakfast;1
glastonbury;smashed;1
glastonbury;altj;4
glastonbury;jumpingjackflash;1
glastonbury;paz;1
glastonbury;happy;11
glastonbury;rolling;44
glastonbury;naked;1
glastonbury;freepeople;2
glastonbury;flower;1
glastonbury;cawstonbury;1
glastonbury;panicover;1
glastonbury;legend;53
glastonbury;whatdowedonow;1
glastonbury;elviscostello;65
glastonbury;people;4
glastonbury;storage;1
glastonbury;limerick;1
glastonbury;vip;5
glastonbury;comeonglobal;1
glastonbury;bigdayout;4
glastonbury;shivers;3
glastonbury;yellowbricks;1
glastonbury;yannisyannis;1
glastonbury;crazytimes;50
glastonbury;shangrila;9
glastonbury;britshgp;1
glastonbury;thelions;5
glastonbury;recycleformichael;1
glastonbury;mumfordsons;4
glastonbury;mediumrare;1
glastonbury;whitemencantdance;1
glastonbury;mumfordandsons;12
glastonbury;iwantawhitesuit;1
glastonbury;saffronwalden;1
glastonbury;londonpride;3
glastonbury;london;21
glastonbury;weather;3
glastonbury;thirdweddinginjunealone;1
glastonbury;mindblowing;1
glastonbury;can;4
glastonbury;dizzeerascal;5
glastonbury;glastoshout;19
glastonbury;addtothebucketlist;1
glastonbury;antidotes;1
glastonbury;missyoubri;2
glastonbury;proud;3
glastonbury;speechday;1
glastonbury;whyaminotthere;5
glastonbury;sadlife;2
glastonbury;occupygezi;7
glastonbury;eianscollectionofgreenplaces;2
glastonbury;green;2
glastonbury;glastonburyfestival2013;3
glastonbury;2013glastonbury;1
glastonbury;ritaora;15
glastonbury;welljel;6
glastonbury;ora;5
glastonbury;ritabots;5
glastonbury;orabots;1
glastonbury;iowfestival;1
glastonbury;solongago;1
glastonbury;isleofw;1
glastonbury;sharp;1
glastonbury;raphero;1
glastonbury;lad;13
glastonbury;joshdoyle;3
glastonbury;punks;5
glastonbury;wishingiwasatglasto;1
glastonbury;herecomesthesun;1
glastonbury;britishlions;1
glastonbury;wolvesaywe;3
glastonbury;wolves;9
glastonbury;greatindieband;1
glastonbury;magic;6
glastonbury;lovinlife;1
glastonbury;thisispainful;1
glastonbury;myjohn;1
glastonbury;behindthescenes;1
glastonbury;sound;2
glastonbury;englishdiscolovers;1
glastonbury;saturday;8
glastonbury;shopping;2
glastonbury;bbq;17
glastonbury;worldsbiggestparty;1
glastonbury;stupidme;1
glastonbury;biggestregretofmylife;1
glastonbury;snapchat;1
glastonbury;kasabian;9
glastonbury;putos;1
glastonbury;piss;1
glastonbury;mud;10
glastonbury;actsoftheday;1
glastonbury;etihad;1
glastonbury;melbourne;1
glastonbury;chinese;1
